Rank,Player,Team,Rating,Career Best
01,Shubman Gill,IND (India),784,847 v Australia at Indore 2023
02,Babar Azam,PAK (Pakistan),766,898 v West Indies at Multan 2022
03,Rohit Sharma,IND (India),756,882 v Sri Lanka at Headingley 2019
04,Virat Kohli,IND (India),736,909 v England at Headingley 2018
05,Daryl Mitchell,NZ (New Zealand),720,751 v India at Mumbai 2023
06,Charith Asalanka,SL (Sri Lanka),719,725 v Bangladesh at Colombo (RPS) 2025
07,Harry Tector,IRE (Ireland),708,767 v Afghanistan at Sharjah 2024
08,Shreyas Iyer,IND (India),704,710 v New Zealand at Mumbai 2023
09,Ibrahim Zadran,AFG (Afghanistan),676,693 v Australia at Mumbai 2023
10,Kusal Mendis,SL (Sri Lanka),669,669 v Bangladesh at Pallekele 2025
11,Shai Hope,WI (West Indies),660,802 v Bangladesh at Malahide 2019
12,Keacy Carty,WI (West Indies),659,662 v England at Cardiff 2025
13,Travis Head,AUS (Australia),650,697 v England at Trent Bridge 2024
14,Rassie van der Dussen,SA (South Africa),648,797 v England at Durham 2022
15,KL Rahul,IND (India),638,675 v South Africa at Gqeberha 2023
16,Ben Duckett,ENG (England),626,632 v West Indies at Edgbaston 2025
17,Paul Stirling,IRE (Ireland),625,698 v Netherlands at Utrecht 2021
18,Rachin Ravindra,NZ (New Zealand),624,643 v India at Dubai 2025
19,Rahmanullah Gurbaz,AFG (Afghanistan),622,686 v Bangladesh at Sharjah 2024
20,Pathum Nissanka,SL (Sri Lanka),617,728 v Bangladesh at Chittagong 2024
21,Mohammad Rizwan,PAK (Pakistan),606,624 v New Zealand at Karachi 2025
22,David Miller,SA (South Africa),604,674 v Australia at Kolkata 2023
23,Joe Root,ENG (England),602,816 v Sri Lanka at Dambulla 2018
=,Fakhar Zaman,PAK (Pakistan),602,785 v New Zealand at Rawalpindi 2023
25,Azmatullah Omarzai,AFG (Afghanistan),598,598 v Australia at Lahore 2025
26,Aiden Markram,SA (South Africa),596,657 v New Zealand at Pune 2023
27,Glenn Phillips,NZ (New Zealand),594,612 v India at Dubai 2025
28,Temba Bavuma,SA (South Africa),585,691 v Australia at Potchefstroom 2023
29,Will Young,NZ (New Zealand),583,647 v Pakistan at Karachi 2025
30,Kane Williamson,NZ (New Zealand),580,792 v South Africa at Centurion 2015
31,Sherfane Rutherford,WI (West Indies),579,596 v Bangladesh at St Kitts 2024
32,Sikandar Raza,ZIM (Zimbabwe),578,627 v India at Harare 2022
33,Marnus Labuschagne,AUS (Australia),576,644 v England at Trent Bridge 2024
34,Najmul Hossain Shanto,BAN (Bangladesh),572,610 v Afghanistan at Sharjah 2024
35,Imam-ul-Haq,PAK (Pakistan),565,815 v West Indies at Multan 2022
36,Scott Edwards,NED (Netherlands),559,644 v Bangladesh at Kolkata 2023
37,Rahmat Shah,AFG (Afghanistan),555,635 v Sri Lanka at Pallekele 2022
=,Saim Ayub,PAK (Pakistan),555,602 v South Africa at Johannesburg 2024
39,George Munsey,SCO (Scotland),553,587 v Namibia at Glasgow 2022
40,Tom Latham,NZ (New Zealand),550,657 v Pakistan at Karachi 2023
=,Salman Agha,PAK (Pakistan),550,561 v New Zealand at Napier 2025
42,Jos Buttler,ENG (England),546,731 v West Indies at Southampton 2019
43,Glenn Maxwell,AUS (Australia),542,728 v India at Canberra 2016
44,Janith Liyanage,SL (Sri Lanka),541,550 v Bangladesh at Colombo (RPS) 2025
45,Gerhard Erasmus,NAM (Namibia),539,618 v United Arab Emirates at Namibia 2023
46,Alex Carey,AUS (Australia),537,669 v West Indies at Barbados 2021
47,Devon Conway,NZ (New Zealand),532,603 v Bangladesh at Chennai 2023
48,Harry Brook,ENG (England),530,531 v Australia at Bristol 2024
49,Andy Balbirnie,IRE (Ireland),524,585 v South Africa at Malahide 2021
50,Sean Williams,ZIM (Zimbabwe),522,571 v Sri Lanka at Bulawayo 2023
51,Tawhid Hridoy,BAN (Bangladesh),519,519 v Sri Lanka at Pallekele 2025
52,Max O'Dowd,NED (Netherlands),517,523 v USA at Rotterdam 2024
53,Hashmatullah Shahidi,AFG (Afghanistan),508,549 v Netherlands at Lucknow 2023
54,Mitchell Marsh,AUS (Australia),507,635 v New Zealand at Canberra 2016
55,Monank Patel,USA (USA),505,554 v Papua New Guinea at Namibia 2022
56,Curtis Campher,IRE (Ireland),502,521 v Zimbabwe at Harare 2025
57,Mohammad Nabi,AFG (Afghanistan),496,551 v Bangladesh at Mirpur 2016
58,Richie Berrington,SCO (Scotland),493,555 v USA at Texas 2022
59,Jaker Ali,BAN (Bangladesh),489,489 v Sri Lanka at Pallekele 2025
60,Brandon McMullen,SCO (Scotland),485,505 v Netherlands at Utrecht 2025
61,Jatinder Singh,OMN (Oman),482,"506 v United Arab Emirates at Kathmandu, Nepal 2023"
62,Sadeera Samarawickrama,SL (Sri Lanka),480,575 v Afghanistan at Pallekele 2024
63,Craig Ervine,ZIM (Zimbabwe),479,522 v Afghanistan at Bulawayo 2015
64,Liam Livingstone,ENG (England),476,510 v West Indies at Antigua 2024
65,Avishka Fernando,SL (Sri Lanka),474,592 v South Africa at Colombo (RPS) 2021
66,Brandon King,WI (West Indies),473,501 v Bangladesh at St Kitts 2024
=,Michael van Lingen,NAM (Namibia),473,513 v United Arab Emirates at Namibia 2024
68,Brian Bennett,ZIM (Zimbabwe),471,471 v Ireland at Harare 2025
69,Muhammad Waseem,UAE (United Arab Emirates),467,511 v Sri Lanka at Bulawayo 2023
70,Lorcan Tucker,IRE (Ireland),465,465 v West Indies at Dublin 2025
=,Tony de Zorzi,SA (South Africa),465,518 v Pakistan at Paarl 2024
72,Mehidy Hasan Miraz,BAN (Bangladesh),462,480 v West Indies at St Kitts 2024
73,Phil Salt,ENG (England),459,485 v India at Ahmedabad 2025
74,Aqib Ilyas,OMN (Oman),456,"584 v USA at Kirtipur, Nepal 2020"
75,Vriitya Aravind,UAE (United Arab Emirates),455,538 v Oman at Bulawayo 2023
76,Mark Chapman,NZ (New Zealand),453,462 v Pakistan at Napier 2025
=,Asif Khan,UAE (United Arab Emirates),453,476 v USA at Harare 2023
78,Litton Das,BAN (Bangladesh),446,627 v Zimbabwe at Harare 2022
79,Jan Nicol Loftie-Eaton,NAM (Namibia),443,456 v Oman at Oman 2025
80,Sediqullah Atal,AFG (Afghanistan),441,441 v Australia at Lahore 2025
81,Josh Inglis,AUS (Australia),440,442 v Afghanistan at Lahore 2025
82,Michael Leask,SCO (Scotland),438,492 v Zimbabwe at Bulawayo 2023
=,Hardik Pandya,IND (India),438,564 v Sri Lanka at Colombo (RPS) 2021
=,Aaron Jones,USA (USA),438,541 v Papua New Guinea at Namibia 2023
85,Soumya Sarkar,BAN (Bangladesh),437,666 v South Africa at Chittagong 2015
=,Tanzid Hasan,BAN (Bangladesh),437,440 v Sri Lanka at Colombo (RPS) 2025
87,Michael Bracewell,NZ (New Zealand),434,458 v India at Raipur 2023
88,Pargat Singh,CAN (Canada),433,433 v USA at Lauderhill 2025
89,Kushal Bhurtel,NEP (Nepal),428,"466 v Netherlands at Kirtipur, Nepal 2024"
90,Vikramjit Singh,NED (Netherlands),426,469 v Namibia at Namibia 2025
91,Evin Lewis,WI (West Indies),425,567 v Sri Lanka at Antigua 2021
92,Aarif Sheikh,NEP (Nepal),424,424 v Netherlands at Scotland 2025
93,George Dockrell,IRE (Ireland),421,466 v Zimbabwe at Harare 2023
=,Saiteja Mukkamalla,USA (USA),421,421 v Oman at Lauderhill 2025
95,Aasif Sheikh,NEP (Nepal),420,"496 v Papua New Guinea at Kirtipur, Nepal 2023"
=,Milind Kumar,USA (USA),420,442 v Oman at Lauderhill 2025
97,Mohammad Nadeem,OMN (Oman),419,430 v Zimbabwe at Bulawayo 2023
=,Abdullah Shafique,PAK (Pakistan),419,479 v Bangladesh at Kolkata 2023
99,Teja Nidamanuru,NED (Netherlands),417,443 v West Indies at Harare 2023
100,Rohit Paudel,NEP (Nepal),416,519 v Papua New Guinea at Dubai 2023
